DATE,NAME,ALPHA-2,ALPHA-3,REGION,MEAN_BY_COUNTRY
2014,Austria,AT,AUT,Europe,0.1
2015,Austria,AT,AUT,Europe,0.1
2016,Austria,AT,AUT,Europe,0.1
2017,Austria,AT,AUT,Europe,0.1
2018,Austria,AT,AUT,Europe,0.1
2019,Austria,AT,AUT,Europe,0.1
2020,Austria,AT,AUT,Europe,0.1
2021,Austria,AT,AUT,Europe,0.1
2022,Austria,AT,AUT,Europe,0.10000000000000002
2014,Australia,AU,AUS,Oceania,3.1238095238095234
2015,Australia,AU,AUS,Oceania,6.775055350553506
2016,Australia,AU,AUS,Oceania,2.407396226415094
2017,Australia,AU,AUS,Oceania,2.569946195234435
2018,Australia,AU,AUS,Oceania,2.38355754857997
2019,Australia,AU,AUS,Oceania,2.151191746709356
2020,Australia,AU,AUS,Oceania,2.793274456521739
2021,Australia,AU,AUS,Oceania,2.593769688484424
2022,Australia,AU,AUS,Oceania,2.6970314318975555
2014,Belgium,BE,BEL,Europe,0.1
2015,Belgium,BE,BEL,Europe,0.1
2016,Belgium,BE,BEL,Europe,0.1
2017,Belgium,BE,BEL,Europe,0.1
2018,Belgium,BE,BEL,Europe,0.10000000000000002
2019,Belgium,BE,BEL,Europe,0.1
2020,Belgium,BE,BEL,Europe,0.1
2021,Belgium,BE,BEL,Europe,0.1
2014,Brazil,BR,BRA,Americas,5.2
2015,Brazil,BR,BRA,Americas,5.632631578947369
2016,Brazil,BR,BRA,Americas,4.4423180592991915
2017,Brazil,BR,BRA,Americas,4.062011173184358
2018,Brazil,BR,BRA,Americas,4.223255813953489
2019,Brazil,BR,BRA,Americas,3.5613351877607786
2020,Brazil,BR,BRA,Americas,2.533862433862434
2021,Brazil,BR,BRA,Americas,2.317828773168579
2022,Brazil,BR,BRA,Americas,2.6975172413793103
2014,Canada,CA,CAN,Americas,1.4818181818181817
2015,Canada,CA,CAN,Americas,1.66424523441525
2016,Canada,CA,CAN,Americas,1.38488824101069
2017,Canada,CA,CAN,Americas,1.431651619755709
2018,Canada,CA,CAN,Americas,1.4053880375679684
2019,Canada,CA,CAN,Americas,1.409403372243839
2020,Canada,CA,CAN,Americas,1.5481693121693123
2021,Canada,CA,CAN,Americas,1.5163667895079125
2022,Canada,CA,CAN,Americas,1.4773468057366363
2014,Chile,CL,CHL,Americas,7.54
2015,Chile,CL,CHL,Americas,8.840809968847353
2016,Chile,CL,CHL,Americas,10.847084233261338
2017,Chile,CL,CHL,Americas,12.386393805309734
