DATE,NAME,ALPHA-2,ALPHA-3,REGION,MEAN_BY_COUNTRY
2014,Austria,AT,AUT,Europe,17.886666666666667
2015,Austria,AT,AUT,Europe,14.367834394904458
2016,Austria,AT,AUT,Europe,13.247770700636943
2017,Austria,AT,AUT,Europe,14.13136612021858
2018,Austria,AT,AUT,Europe,12.50601750547046
2019,Austria,AT,AUT,Europe,11.567041800643086
2020,Austria,AT,AUT,Europe,9.527774961986822
2021,Austria,AT,AUT,Europe,9.670862944162435
2022,Austria,AT,AUT,Europe,8.205130168453293
2014,Australia,AU,AUS,Oceania,26.281818181818178
2015,Australia,AU,AUS,Oceania,66.29649122807017
2016,Australia,AU,AUS,Oceania,4.32409381663113
2017,Australia,AU,AUS,Oceania,4.599654934437543
2018,Australia,AU,AUS,Oceania,4.115086505190312
2019,Australia,AU,AUS,Oceania,4.022874493927125
2020,Australia,AU,AUS,Oceania,4.202591419522027
2021,Australia,AU,AUS,Oceania,4.020293609671848
2022,Australia,AU,AUS,Oceania,4.371923743500866
2014,Belgium,BE,BEL,Europe,20.700000000000003
2015,Belgium,BE,BEL,Europe,11.244562334217507
2016,Belgium,BE,BEL,Europe,10.539857015192137
2017,Belgium,BE,BEL,Europe,11.182980680772769
2018,Belgium,BE,BEL,Europe,10.026556776556777
2019,Belgium,BE,BEL,Europe,8.979360072104551
2020,Belgium,BE,BEL,Europe,7.251943634596696
2021,Belgium,BE,BEL,Europe,8.44905335628227
2014,Bolivia,BO,BOL,Americas,3.15
2015,Bolivia,BO,BOL,Americas,5.02741935483871
2016,Bolivia,BO,BOL,Americas,22.326315789473686
2017,Bolivia,BO,BOL,Americas,7.641843971631205
2018,Bolivia,BO,BOL,Americas,7.258333333333333
2019,Bolivia,BO,BOL,Americas,5.577746478873239
2020,Bolivia,BO,BOL,Americas,6.475742574257425
2014,Brazil,BR,BRA,Americas,10.116666666666667
2015,Brazil,BR,BRA,Americas,11.122413793103448
2016,Brazil,BR,BRA,Americas,11.291005291005291
2017,Brazil,BR,BRA,Americas,10.896438356164383
2018,Brazil,BR,BRA,Americas,11.025277777777777
2019,Brazil,BR,BRA,Americas,10.332364597093791
2020,Brazil,BR,BRA,Americas,7.542074198988195
2021,Brazil,BR,BRA,Americas,7.752266894781864
2022,Brazil,BR,BRA,Americas,8.923097826086956
2014,Canada,CA,CAN,Americas,6.8
2015,Canada,CA,CAN,Americas,7.785320356853203
2016,Canada,CA,CAN,Americas,6.741070760014976
2017,Canada,CA,CAN,Americas,6.21451009723261
2018,Canada,CA,CAN,Americas,6.531902071563088
2019,Canada,CA,CAN,Americas,6.016374487131667
2020,Canada,CA,CAN,Americas,5.259845905751657
2021,Canada,CA,CAN,Americas,5.124715222644114
2022,Canada,CA,CAN,Americas,4.959396506087876
2014,Switzerland,CH,CHE,Europe,19.966666666666665
2015,Switzerland,CH,CHE,Europe,14.64074074074074
2016,Switzerland,CH,CHE,Europe,9.337037037037037
2017,Switzerland,CH,CHE,Europe,11.19344262295082
2018,Switzerland,CH,CHE,Europe,9.949726775956284
2019,Switzerland,CH,CHE,Europe,9.551742627345845
2020,Switzerland,CH,CHE,Europe,8.235606060606061
2021,Switzerland,CH,CHE,Europe,7.851776649746193
2022,Switzerland,CH,CHE,Europe,7.175572519083969
2014,Chile,CL,CHL,Americas,5.883333333333333
2015,Chile,CL,CHL,Americas,12.61907514450867
2016,Chile,CL,CHL,Americas,9.453683035714286
2017,Chile,CL,CHL,Americas,9.768333333333333
2018,Chile,CL,CHL,Americas,11.425437693099898
2019,Chile,CL,CHL,Americas,8.643637992831541
2020,Chile,CL,CHL,Americas,7.018597816960537
2021,Chile,CL,CHL,Americas,7.937812632471386
2022,Chile,CL,CHL,Americas,8.729142857142858
2014,China,CN,CHN,Asia,25.001307189542484
2015,China,CN,CHN,Asia,16.683485309017225
2016,China,CN,CHN,Asia,16.13148261758691
2017,China,CN,CHN,Asia,16.909530853761623
2018,China,CN,CHN,Asia,15.477692388672493
2019,China,CN,CHN,Asia,14.296083174635852
2020,China,CN,CHN,Asia,12.640577381821723
2021,China,CN,CHN,Asia,12.539221064179923
2022,China,CN,CHN,Asia,9.884003293659704
2014,Colombia,CO,COL,Americas,5.666666666666667
2015,Colombia,CO,COL,Americas,6.723204419889504
2016,Colombia,CO,COL,Americas,6.592934782608695
2017,Colombia,CO,COL,Americas,6.733526011560694
2018,Colombia,CO,COL,Americas,7.98135593220339
2019,Colombia,CO,COL,Americas,7.851937984496123
2020,Colombia,CO,COL,Americas,9.342658227848101
2021,Colombia,CO,COL,Americas,10.373394495412844
2022,Colombia,CO,COL,Americas,11.708349514563107
2014,Cyprus,CY,CYP,Asia,13.966666666666667
2015,Cyprus,CY,CYP,Asia,9.336127167630059
2016,Cyprus,CY,CYP,Asia,9.397354497354497
2017,Cyprus,CY,CYP,Asia,9.944535519125683
2018,Cyprus,CY,CYP,Asia,10.690983606557378
2019,Cyprus,CY,CYP,Asia,11.42987012987013
