DATE,NAME,ALPHA-2,ALPHA-3,REGION,MEAN_BY_COUNTRY
2014,Australia,AU,AUS,Oceania,36.28636363636363
2015,Australia,AU,AUS,Oceania,71.87839297771775
2016,Australia,AU,AUS,Oceania,9.63072546230441
2017,Australia,AU,AUS,Oceania,10.056267217630854
2018,Australia,AU,AUS,Oceania,9.486998616874136
2019,Australia,AU,AUS,Oceania,9.594634313055366
2020,Australia,AU,AUS,Oceania,11.722336
2021,Australia,AU,AUS,Oceania,11.001291572489507
2022,Australia,AU,AUS,Oceania,10.574129593810445
2014,Belgium,BE,BEL,Europe,4.288888888888889
2015,Belgium,BE,BEL,Europe,19.294201605709187
2016,Belgium,BE,BEL,Europe,18.19115523465704
2017,Belgium,BE,BEL,Europe,18.52941729323308
2018,Belgium,BE,BEL,Europe,20.097868396663575
2019,Belgium,BE,BEL,Europe,18.478028933092226
2020,Belgium,BE,BEL,Europe,19.156674816625916
2021,Belgium,BE,BEL,Europe,19.996341463414634
2014,Bolivia,BO,BOL,Americas,4.15
2015,Bolivia,BO,BOL,Americas,7.800806451612903
2016,Bolivia,BO,BOL,Americas,11.624626865671642
2017,Bolivia,BO,BOL,Americas,4.393706293706293
2018,Bolivia,BO,BOL,Americas,7.969444444444445
2019,Bolivia,BO,BOL,Americas,10.028248587570621
2020,Bolivia,BO,BOL,Americas,3.6039408866995073
2014,Brazil,BR,BRA,Americas,19.266666666666666
2015,Brazil,BR,BRA,Americas,13.60123839009288
2016,Brazil,BR,BRA,Americas,11.629894179894182
2017,Brazil,BR,BRA,Americas,11.434972677595628
2018,Brazil,BR,BRA,Americas,13.140555555555556
2019,Brazil,BR,BRA,Americas,14.773976221928665
2020,Brazil,BR,BRA,Americas,14.794940978077571
2021,Brazil,BR,BRA,Americas,14.628079242032731
2022,Brazil,BR,BRA,Americas,14.321195652173913
2014,Canada,CA,CAN,Americas,14.411904761904763
2015,Canada,CA,CAN,Americas,15.97839580814188
2016,Canada,CA,CAN,Americas,15.780440366972476
2017,Canada,CA,CAN,Americas,15.563238512035012
2018,Canada,CA,CAN,Americas,16.832324723247233
2019,Canada,CA,CAN,Americas,11.847189760712297
2020,Canada,CA,CAN,Americas,14.16994699646643
2021,Canada,CA,CAN,Americas,13.966961250849764
2022,Canada,CA,CAN,Americas,15.221201873048908
2014,Switzerland,CH,CHE,Europe,7.1000000000000005
2015,Switzerland,CH,CHE,Europe,20.09259259259259
2016,Switzerland,CH,CHE,Europe,20.914814814814815
2017,Switzerland,CH,CHE,Europe,19.281967213114754
2018,Switzerland,CH,CHE,Europe,22.449180327868852
2019,Switzerland,CH,CHE,Europe,18.645308310991958
2020,Switzerland,CH,CHE,Europe,18.504797979797978
2021,Switzerland,CH,CHE,Europe,18.030710659898478
2022,Switzerland,CH,CHE,Europe,23.924809160305344
2014,Chile,CL,CHL,Americas,14.27
2015,Chile,CL,CHL,Americas,11.395124716553289
2016,Chile,CL,CHL,Americas,8.90538812785388
2017,Chile,CL,CHL,Americas,10.296859296482411
2018,Chile,CL,CHL,Americas,10.885067319461445
2019,Chile,CL,CHL,Americas,11.748565022421523
2020,Chile,CL,CHL,Americas,12.420160608622146
2021,Chile,CL,CHL,Americas,9.47326565143824
2022,Chile,CL,CHL,Americas,9.001139962001266
2014,China,CN,CHN,Asia,13.541592920353983
2015,China,CN,CHN,Asia,24.058419321918585
2016,China,CN,CHN,Asia,24.207010029251986
2017,China,CN,CHN,Asia,28.165506329113924
2018,China,CN,CHN,Asia,29.3065322671472
2019,China,CN,CHN,Asia,25.874003171726326
2020,China,CN,CHN,Asia,24.86182960131076
2021,China,CN,CHN,Asia,24.280242760076522
2022,China,CN,CHN,Asia,28.983629959213943
2014,Colombia,CO,COL,Americas,4.1000000000000005
2015,Colombia,CO,COL,Americas,4.5888372093023255
2016,Colombia,CO,COL,Americas,99.73201754385966
2017,Colombia,CO,COL,Americas,2.7255813953488373
2018,Colombia,CO,COL,Americas,3.5558659217877095
2019,Colombia,CO,COL,Americas,4.293023255813954
2020,Colombia,CO,COL,Americas,7.49126582278481
2021,Colombia,CO,COL,Americas,5.57982233502538
2022,Colombia,CO,COL,Americas,5.147961165048543
2014,Cyprus,CY,CYP,Asia,11.35
2015,Cyprus,CY,CYP,Asia,25.596811594202897
2016,Cyprus,CY,CYP,Asia,25.824603174603176
2017,Cyprus,CY,CYP,Asia,25.010928961748633
2018,Cyprus,CY,CYP,Asia,23.741803278688526
2019,Cyprus,CY,CYP,Asia,15.63421052631579
2014,Czech Republic,CZ,CZE,Europe,11.15
2015,Czech Republic,CZ,CZE,Europe,20.5917880794702
2016,Czech Republic,CZ,CZE,Europe,18.86600529100529
2017,Czech Republic,CZ,CZE,Europe,21.186748633879784
2018,Czech Republic,CZ,CZE,Europe,23.478644501278772
2019,Czech Republic,CZ,CZE,Europe,20.201686615886832
2020,Czech Republic,CZ,CZE,Europe,19.229674796747968
2021,Czech Republic,CZ,CZE,Europe,19.43210244192972
2022,Czech Republic,CZ,CZE,Europe,24.371984732824426
2014,Germany,DE,DEU,Europe,7.864102564102564
2015,Germany,DE,DEU,Europe,21.564402618657937
2016,Germany,DE,DEU,Europe,20.30891768292683
2017,Germany,DE,DEU,Europe,20.90064367816092
2018,Germany,DE,DEU,Europe,22.701
2019,Germany,DE,DEU,Europe,20.104738998752893
2020,Germany,DE,DEU,Europe,19.94898498101997
2021,Germany,DE,DEU,Europe,19.10307939053729
2022,Germany,DE,DEU,Europe,25.588381544346163
2014,Denmark,DK,DNK,Europe,12.200000000000001
2015,Denmark,DK,DNK,Europe,20.66190476190476
2016,Denmark,DK,DNK,Europe,20.883246073298427
2017,Denmark,DK,DNK,Europe,17.106410256410257
2018,Denmark,DK,DNK,Europe,23.360439560439563
2019,Denmark,DK,DNK,Europe,21.90123839009288
2020,Denmark,DK,DNK,Europe,22.336111111111112
2021,Denmark,DK,DNK,Europe,21.95329949238579
