DATE,NAME,ALPHA-2,ALPHA-3,REGION,MEAN_BY_COUNTRY
2014,Austria,AT,AUT,Europe,24.2
2015,Austria,AT,AUT,Europe,19.52547770700637
2016,Austria,AT,AUT,Europe,16.71125265392781
2017,Austria,AT,AUT,Europe,19.608743169398906
2018,Austria,AT,AUT,Europe,18.994535519125684
2019,Austria,AT,AUT,Europe,15.459677419354838
2020,Austria,AT,AUT,Europe,14.62088190572732
2021,Austria,AT,AUT,Europe,15.303045685279187
2022,Austria,AT,AUT,Europe,14.323371647509578
2014,Australia,AU,AUS,Oceania,16.035714285714285
2015,Australia,AU,AUS,Oceania,15.287257019438444
2016,Australia,AU,AUS,Oceania,13.046145188519978
2017,Australia,AU,AUS,Oceania,13.798018712162905
2018,Australia,AU,AUS,Oceania,14.160398230088495
2019,Australia,AU,AUS,Oceania,15.945341949380722
2020,Australia,AU,AUS,Oceania,14.732296261899235
2021,Australia,AU,AUS,Oceania,11.971268395234759
2022,Australia,AU,AUS,Oceania,10.63594954449895
2014,Belgium,BE,BEL,Europe,28.0
2015,Belgium,BE,BEL,Europe,20.776699029126213
2016,Belgium,BE,BEL,Europe,17.330131004366812
2017,Belgium,BE,BEL,Europe,20.392335766423358
2018,Belgium,BE,BEL,Europe,20.739526411657558
2019,Belgium,BE,BEL,Europe,16.60431654676259
2020,Belgium,BE,BEL,Europe,15.530263157894737
2021,Belgium,BE,BEL,Europe,16.314649681528664
2022,Belgium,BE,BEL,Europe,16.754464285714285
2014,Bolivia,BO,BOL,Americas,20.5
2015,Bolivia,BO,BOL,Americas,33.904761904761905
2016,Bolivia,BO,BOL,Americas,30.723880597014926
2017,Bolivia,BO,BOL,Americas,34.714285714285715
2018,Bolivia,BO,BOL,Americas,32.660377358490564
2019,Bolivia,BO,BOL,Americas,40.022346368715084
2020,Bolivia,BO,BOL,Americas,36.37623762376238
2014,Brazil,BR,BRA,Americas,17.333333333333332
2015,Brazil,BR,BRA,Americas,20.13622291021672
2016,Brazil,BR,BRA,Americas,21.396825396825395
2017,Brazil,BR,BRA,Americas,18.169398907103826
2018,Brazil,BR,BRA,Americas,19.81388888888889
2019,Brazil,BR,BRA,Americas,20.379524438573316
2020,Brazil,BR,BRA,Americas,18.213395113732098
2021,Brazil,BR,BRA,Americas,18.728373702422147
2022,Brazil,BR,BRA,Americas,19.493070652173913
2014,Canada,CA,CAN,Americas,7.222222222222222
2015,Canada,CA,CAN,Americas,13.169520547945206
2016,Canada,CA,CAN,Americas,10.10909090909091
2017,Canada,CA,CAN,Americas,8.97080291970803
2018,Canada,CA,CAN,Americas,8.863723608445298
2019,Canada,CA,CAN,Americas,9.212830957230143
2020,Canada,CA,CAN,Americas,9.747474747474747
2021,Canada,CA,CAN,Americas,7.247422680412371
2022,Canada,CA,CAN,Americas,7.309957924263674
2014,Switzerland,CH,CHE,Europe,19.333333333333332
2015,Switzerland,CH,CHE,Europe,18.174603174603174
2016,Switzerland,CH,CHE,Europe,12.068783068783068
2017,Switzerland,CH,CHE,Europe,16.10928961748634
2018,Switzerland,CH,CHE,Europe,14.797814207650273
2019,Switzerland,CH,CHE,Europe,12.616621983914209
2020,Switzerland,CH,CHE,Europe,11.505050505050505
2021,Switzerland,CH,CHE,Europe,11.567430025445292
2022,Switzerland,CH,CHE,Europe,13.351145038167939
2014,Chile,CL,CHL,Americas,26.677419354838708
