DATE,NAME,ALPHA-2,ALPHA-3,REGION,MEAN_BY_COUNTRY
2014,Austria,AT,AUT,Europe,2.1
2015,Austria,AT,AUT,Europe,1.6314254859611232
2016,Austria,AT,AUT,Europe,1.6906148867313917
2017,Austria,AT,AUT,Europe,1.9034675615212528
2018,Austria,AT,AUT,Europe,1.6184151785714287
2019,Austria,AT,AUT,Europe,1.4396185286103544
2020,Austria,AT,AUT,Europe,1.2784303534303536
2021,Austria,AT,AUT,Europe,1.2622816032887976
2022,Austria,AT,AUT,Europe,1.335703125
2014,Australia,AU,AUS,Oceania,3.4058823529411764
2015,Australia,AU,AUS,Oceania,18.59590948651001
2016,Australia,AU,AUS,Oceania,1.6421847246891652
2017,Australia,AU,AUS,Oceania,1.8143682906688685
2018,Australia,AU,AUS,Oceania,1.7727722772277228
2019,Australia,AU,AUS,Oceania,1.7856112376613515
2020,Australia,AU,AUS,Oceania,1.5514036418816388
2021,Australia,AU,AUS,Oceania,1.674454956807898
2022,Australia,AU,AUS,Oceania,1.6533101045296168
2014,Belgium,BE,BEL,Europe,1.6
2015,Belgium,BE,BEL,Europe,1.9847394540942929
2016,Belgium,BE,BEL,Europe,1.832973805855162
2017,Belgium,BE,BEL,Europe,1.7171195652173912
2018,Belgium,BE,BEL,Europe,1.4942743009320907
2019,Belgium,BE,BEL,Europe,1.4499139414802065
2020,Belgium,BE,BEL,Europe,1.7567987567987569
2021,Belgium,BE,BEL,Europe,1.609668508287293
2014,Brazil,BR,BRA,Americas,1.1
2015,Brazil,BR,BRA,Americas,1.373936170212766
2016,Brazil,BR,BRA,Americas,1.0698996655518396
2017,Brazil,BR,BRA,Americas,1.1014492753623188
2018,Brazil,BR,BRA,Americas,1.043939393939394
2019,Brazil,BR,BRA,Americas,1.3629139072847682
2020,Brazil,BR,BRA,Americas,2.914335664335664
2021,Brazil,BR,BRA,Americas,3.6708296164139163
2022,Brazil,BR,BRA,Americas,2.8970792767732965
2014,Canada,CA,CAN,Americas,1.6285714285714283
2015,Canada,CA,CAN,Americas,5.463808900523561
2016,Canada,CA,CAN,Americas,4.793734335839599
2017,Canada,CA,CAN,Americas,4.510716591349257
