Country Name;Country Code;Indicator Name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Column1
Aruba;ABW;GDP per capita (current US$);;;;;;;;;;;;;;;;;;;;;;;;;;;6,47436E+14;7,88689E+13;9,76958E+14;1,1396E+14;1,23054E+13;1,34947E+14;1,40483E+14;1,49423E+14;1,62416E+14;1,64418E+14;1,6583E+14;1,79268E+14;1,90807E+14;1,93565E+14;2,06148E+14;2,04178E+14;2,06545E+14;2,10701E+14;2,28343E+14;2,35912E+14;2,4495E+14;2,64522E+14;2,80482E+14;2,51708E+14;2,41345E+13;2,585E+14;2,54968E+14;2,64424E+14;2,68951E+14;2,83991E+14;2,84537E+13;2,93484E+13;3,02537E+14;3,11359E+14;2,33843E+14;;
Africa Eastern and Southern;AFE;GDP per capita (current US$);1,62726E+14;1,62556E+14;1,72271E+14;1,99785E+14;1,80229E+13;1,99517E+14;2,11054E+14;2,13637E+14;2,26621E+13;2,52569E+14;2,63499E+14;2,82575E+14;2,97072E+14;3,75456E+14;4,51035E+14;4,66622E+14;4,50653E+13;4,96731E+14;5,38069E+14;6,1009E+14;7,50769E+14;7,45058E+14;6,94054E+14;7,04899E+13;6,26674E+14;5,17923E+14;5,62694E+14;6,66744E+14;7,09992E+14;7,34867E+14;8,31202E+13;8,72391E+14;7,39304E+14;7,1401E+13;7,05447E+14;7,7126E+14;7,47767E+14;7,6589E+14;7,03029E+14;6,7574E+14;7,13178E+14;6,33548E+14;6,3181E+14;8,19666E+14;9,93668E+14;1,1297E+14;1,23699E+14;1,38274E+14;1,44203E+14;1,42531E+13;1,65965E+14;1,81023E+13;1,7773E+14;1,74891E+13;1,73624E+14;1,55632E+14;1,44653E+13;1,6294E+14;1,54103E+14;1,51131E+14;1,36088E+14;1,55772E+14;
Afghanistan;AFG;GDP per capita (current US$);5,97732E+14;5,98609E+14;5,8458E+14;7,87064E+14;8,20953E+14;1,01108E+14;1,37594E+14;1,60898E+14;1,29108E+14;1,2933E+14;1,56519E+14;1,59568E+14;1,35317E+14;1,43145E+14;1,73654E+14;1,86511E+14;1,97446E+14;2,24225E+14;2,47354E+14;2,75738E+14;2,72656E+14;2,64111E+14;;;;;;;;;;;;;;;;;;;;;1,79427E+14;1,90684E+14;2,11382E+14;2,42031E+14;2,63734E+14;3,59693E+14;3,64664E+12;4,37269E+13;5,43307E+14;5,9119E+14;6,38846E+14;6,24315E+14;6,14223E+14;5,56007E+14;5,12013E+14;5,1668E+14;4,85668E+14;4,94179E+14;5,16748E+14;;
Africa Western and Central;AFW;GDP per capita (current US$);1,07931E+14;1,1308E+14;1,18829E+14;1,23441E+14;1,31852E+14;1,38524E+14;1,44324E+14;1,28579E+13;1,29641E+14;1,43716E+14;1,95434E+14;1,69119E+14;2,00168E+14;2,41711E+14;3,33192E+14;3,77788E+14;4,44374E+14;4,5479E+14;4,82477E+14;5,84374E+14;7,18692E+14;1,31693E+14;1,13646E+14;8,15901E+14;6,56713E+14;6,5151E+14;5,84907E+14;5,84119E+14;5,61361E+14;5,10419E+14;5,94726E+12;5,58436E+14;5,47663E+14;4,45656E+14;3,7894E+12;4,62865E+14;5,23763E+14;5,15235E+14;5,13642E+14;5,28581E+14;5,25459E+14;5,39339E+14;6,2779E+14;7,06964E+14;8,54515E+14;1,01649E+14;1,25262E+14;1,43084E+14;1,70744E+13;1,48671E+14;1,68759E+14;1,86237E+14;1,96512E+14;2,15749E+13;2,21291E+14;1,89432E+14;1,67384E+14;1,61349E+13;1,70414E+14;1,77785E+14;1,70976E+14;1,77492E+14;
Angola;AGO;GDP per capita (current US$);;;;;;;;;;;;;;;;;;;;;7,10982E+13;6,42381E+14;6,1996E+14;6,2344E+14;6,37715E+14;7,58238E+14;6,8527E+14;7,56262E+13;7,92303E+14;8,90554E+14;9,47704E+14;8,65693E+13;6,56362E+14;4,41201E+14;3,28673E+14;3,97179E+14;5,22644E+14;5,14295E+14;4,23594E+14;3,87784E+14;5,56836E+13;5,27334E+14;8,72494E+14;9,82961E+14;1,25556E+14;1,90242E+14;2,59957E+14;3,122E+14;4,08094E+14;3,12278E+14;3,49797E+13;4,51831E+14;4,97843E+14;5,12772E+14;5,09411E+14;3,12789E+14;1,72802E+14;2,31322E+14;2,52494E+14;2,1778E+14;1,63143E+14;2,13791E+14;
Albania;ALB;GDP per capita (current US$);;;;;;;;;;;;;;;;;;;;;;;;;6,39485E+14;6,39866E+14;6,93873E+14;6,74793E+14;6,52774E+14;6,97996E+14;6,1723E+14;3,36587E+14;2,00852E+14;3,67279E+14;5,86416E+14;7,50604E+14;1,00998E+14;7,1738E+14;8,13789E+14;1,03324E+14;1,12668E+14;1,28166E+13;1,42512E+14;1,84612E+14;2,37358E+14;2,67379E+14;2,97274E+14;3,59504E+14;4,37054E+13;4,11413E+14;4,09435E+14;4,43714E+14;4,24763E+14;4,41306E+14;4,57863E+14;3,9528E+14;4,12406E+14;4,53102E+13;5,28766E+14;5,39622E+14;5,33216E+14;6,49439E+14;
Andorra;AND;GDP per capita (current US$);;;;;;;;;;;3,23869E+14;3,49653E+13;4,21827E+14;5,34217E+14;6,32081E+14;7,1691E+14;7,15125E+14;7,75184E+14;9,12781E+14;1,18185E+14;1,23788E+14;1,03728E+13;9,61002E+14;8,02521E+14;7,72891E+14;7,77561E+14;1,03611E+14;1,26151E+14;1,43046E+14;1,51653E+14;1,88789E+14;1,95343E+14;2,05498E+14;1,65157E+14;1,62351E+14;1,84582E+14;1,90163E+14;1,83556E+14;1,88951E+13;1,92623E+14;2,18542E+14;2,29705E+14;2,50672E+14;3,22728E+14;3,79662E+14;4,00642E+14;4,26748E+14;4,78048E+14;4,87197E+14;4,35042E+14;4,08498E+14;4,3334E+14;3,86846E+14;3,95384E+14;4,13024E+14;3,57709E+14;3,74747E+14;3,89647E+13;4,17933E+14;4,08984E+14;3,74167E+14;4,30477E+14;
Arab World;ARB;GDP per capita (current US$);;;;;;;;;3,04161E+14;3,22223E+14;3,54311E+14;3,98209E+14;4,61758E+14;5,69986E+14;1,05049E+14;1,1276E+14;1,36071E+13;1,52169E+14;1,61644E+14;2,1268E+14;2,79655E+14;2,79333E+14;2,537E+14;2,31828E+13;2,28935E+14;2,18889E+14;2,06238E+13;2,16958E+14;2,0341E+14;2,12254E+14;2,8927E+13;2,06148E+14;2,03392E+14;2,0179E+14;2,06874E+14;2,19693E+14;2,3714E+14;2,501E+13;2,38195E+14;2,57907E+14;2,89017E+14;2,76845E+14;2,72555E+14;2,94857E+14;3,43091E+14;4,12076E+14;4,77061E+14;5,4196E+14;6,66007E+13;5,70871E+14;6,55699E+14;7,01614E+14;7,47925E+14;7,46546E+14;7,41431E+14;6,3599E+14;6,17723E+14;6,27295E+14;6,63538E+14;6,56297E+14;5,72429E+14;6,41239E+14;
United Arab Emirates;ARE;GDP per capita (current US$);;;;;;;;;;;;;;;;2,68481E+14;3,01179E+14;3,38232E+14;2,84571E+14;3,35126E+14;4,27645E+14;4,49875E+14;4,00258E+14;3,48432E+14;3,23098E+14;2,97209E+14;2,34679E+14;2,37263E+14;2,22951E+14;2,40283E+14;2,77294E+14;2,66123E+13;2,64209E+14;2,55967E+14;2,5848E+13;2,72219E+14;2,89751E+14;2,95127E+14;2,68996E+13;2,84709E+13;3,32914E+14;3,12808E+14;3,15675E+14;3,34991E+14;3,63332E+14;3,93655E+14;4,19074E+14;4,18095E+14;4,44989E+14;3,20242E+14;3,38933E+14;3,91947E+14;4,09765E+14;4,24126E+14;4,37518E+14;3,86634E+13;3,81419E+14;4,06448E+14;4,38393E+14;4,27014E+14;3,62846E+14;;
Argentina;ARG;GDP per capita (current US$);;;1,15589E+14;8,50305E+14;1,17324E+14;1,27911E+14;1,2728E+14;1,06254E+14;1,14108E+14;1,32906E+14;1,32259E+14;1,37237E+14;1,40887E+14;2,09702E+14;2,84486E+14;2,02734E+14;1,94822E+14;2,12971E+14;2,14636E+14;2,52092E+14;2,75883E+14;2,77632E+14;2,9279E+14;3,55338E+14;2,65971E+14;2,92613E+14;3,61362E+14;3,56288E+14;3,98519E+14;2,38387E+14;4,33348E+14;5,73536E+13;6,82354E+14;6,96912E+14;7,48314E+14;7,40871E+14;7,72135E+14;8,21313E+14;8,28951E+13;7,77474E+14;7,7081E+14;7,20837E+14;2,5934E+12;3,34981E+14;4,27772E+14;5,10985E+14;5,91901E+14;7,24545E+14;9,02087E+14;8,22514E+14;1,0386E+14;1,28489E+14;1,30827E+13;1,30803E+14;1,23348E+14;1,37891E+13;1,27902E+14;1,4613E+13;1,17952E+14;1,00764E+14;8,58569E+14;1,07292E+14;
